id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1532971693,Chadwick Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Chadwick_Park_Spray.jpg,Lincoln-Lemington-Belmar,9,12,42003561900,2,12,5,3-18,40.46527244,-79.89064273
1400259378,Chartiers Park Drinking Fountain,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Chartiers_Park_Drinking_Fountain.jpg,Windgap,2,28,42003563000,5,28,6,1-16,40.45714301,-80.07478278
1231352098,Chartiers Playground,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Chartiers_Playground.jpg,Windgap,2,28,42003563000,5,28,6,1-16,40.45723738,-80.07492561
126528135,Cowley Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Cowley_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45822072,-79.98866784
2020969508,Cowley Park 2,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Cowley_Park_2.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45859254,-79.98829122
113173335,Cowley Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Cowley_Playground.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45822072,-79.98866784
848798757,Dallas Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Dallas_Park.jpg,Homewood West,9,12,42003120700,2,12,5,3-17,40.45784257,-79.90430672
1458131269,Davis Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Davis_Park.jpg,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43241956,-79.92489385
1223672662,Denny Park,,Drinking Fountain,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Denny_Park.jpg,Strip District,7,6,42003020300,6,6,2,3-2,40.45778083,-79.97305034
617520008,Dinan Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Dinan_Park.jpg,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48449055,-79.93372334
409076412,East Hills Park,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/East_Hills_Park.jpg,East Hills,9,13,42003130600,2,13,5,3-19,40.45342074,-79.87093131
